gene	n_shipped	n_jaspar	n_rossi	bucket	sources	shipped_names
VHR1	1	0	0	nothing_to_compare	murphy	Vhr1_murphy
XBP1	1	1	0	2way_jaspar	badis	Xbp1_badis
YAP1	1	1	3	3way	zhu	Yap1_zhu
YAP3	1	1	0	2way_jaspar	murphy	Yap3_murphy
YAP6	1	1	0	2way_jaspar	zhu	Yap6_zhu
YBR033W	1	0	0	nothing_to_compare	murphy	Ybr033w_murphy
YBR239C	1	0	0	nothing_to_compare	zhu	Ybr239c_zhu
YDR520C	1	0	0	nothing_to_compare	badis	Ydr520c_badis
YER064C	1	0	0	nothing_to_compare	murphy	Yer064c_murphy
YER130C	1	1	0	2way_jaspar	badis	Yer130c_badis
YER184C	1	1	0	2way_jaspar	murphy	Yer184c_murphy
YGR067C	1	1	0	2way_jaspar	badis	Ygr067c_badis
YKL222C	1	1	0	2way_jaspar	zhu	Ykl222c_zhu
YLL054C	1	1	0	2way_jaspar	zhu	Yll054c_zhu
YLR278C	1	1	0	2way_jaspar	murphy	Ylr278c_murphy
YML081W	1	0	0	nothing_to_compare	zhu	Yml081w_zhu
YNR063W	1	1	0	2way_jaspar	badis	Ynr063w_badis
YOX1	1	1	0	2way_jaspar	badis	Yox1_badis
YPR013C	1	1	0	2way_jaspar	zhu	Ypr013c_zhu
YPR015C	1	1	0	2way_jaspar	zhu	Ypr015c_zhu
YPR022C	1	1	0	2way_jaspar	badis	Ypr022c_badis
YPR196W	1	1	0	2way_jaspar	badis	Ypr196w_badis
YRM1	1	1	0	2way_jaspar	badis	Yrm1_badis
YRR1	1	1	3	3way	zhu	Yrr1_zhu
ZAP1	1	1	2	3way	murphy	Zap1_murphy
ZMS1	1	1	0	2way_jaspar	badis	Zms1_badis
