sample_id	target	replicate	assay	condition	gsm	on_disk
16047	Ctk1	rep2	ChIP-exo	normal	GSM4449311	yes
12879	Ctk2	rep1	ChIP-exo	normal	GSM4449312	yes
16598	Ctk2	rep2	ChIP-exo	normal	GSM4449313	yes
14975	Ctk3	rep1	ChIP-exo	normal	GSM4449314	yes
11749	Ctr9	rep1	ChIP-exo	normal	GSM4449315	yes
15196	Ctr9	rep2	ChIP-exo	normal	GSM4449316	yes
12081	Cts1	rep1	ChIP-exo	normal	GSM4449317	
17208	Cup2	rep1	ChIP-exo	normal	GSM4449318	
11777	Cup9	rep1	ChIP-exo	normal	GSM4449319	yes
18501	Cup9	rep2	ChIP-exo	normal	GSM4449320	yes
12949	Cyc8	rep1	ChIP-exo	normal	GSM4449321	yes
13210	Cyc8	rep2	ChIP-exo	normal	GSM4449322	yes
14387	DOT5	rep1	ChIP-exo	normal	GSM4449341	
11778	Dal81	rep1	ChIP-exo	normal	GSM4449323	
14175	Dat1	rep1	ChIP-exo	normal	GSM4449324	yes
20426	Dat1	rep2	ChIP-exo	normal	GSM4449325	yes
17026	Dbf4	rep1	ChIP-exo	normal	GSM4449326	yes
17128	Dbf4	rep2	ChIP-exo	normal	GSM4449327	yes
14527	Dbp2	rep1	ChIP-exo	normal	GSM4449328	yes
17847	Dbp2	rep2	ChIP-exo	normal	GSM4449329	yes
13445	Dbp3	rep1	ChIP-exo	normal	GSM4449330	
14484	Dcc1	rep1	ChIP-exo	normal	GSM4449331	
14409	Dcp1	rep1	ChIP-exo	normal	GSM4449332	
14184	Dcp2	rep1	ChIP-exo	normal	GSM4449333	
12423	Ddp1	rep1	ChIP-exo	normal	GSM4449334	
14828	Dep1	rep1	ChIP-exo	normal	GSM4449335	
14770	Dhh1	rep1	ChIP-exo	normal	GSM4449336	
17599	Dig1	rep1	ChIP-exo	normal	GSM4449337	yes
17870	Dig1	rep2	ChIP-exo	normal	GSM4449338	yes
13470	Doa1	rep1	ChIP-exo	normal	GSM4449339	
13147	Dot1	rep1	ChIP-exo	normal	GSM4449340	
17866	Dot6	rep1	ChIP-exo	normal	GSM4449342	
12132	Dst1	rep1	ChIP-exo	normal	GSM4449343	yes
17867	Dst1	rep2	ChIP-exo	normal	GSM4449344	yes
14391	Dus1	rep1	ChIP-exo	normal	GSM4449345	
11760	Eaf3	rep1	ChIP-exo	normal	GSM4449346	yes
13142	Eaf5	rep1	ChIP-exo	normal	GSM4449347	yes
17025	Eaf5	rep2	ChIP-exo	normal	GSM4449348	yes
14792	Eaf6	rep1	ChIP-exo	normal	GSM4449349	yes
17940	Eaf6	rep2	ChIP-exo	normal	GSM4449350	yes
12461	Eaf7	rep1	ChIP-exo	normal	GSM4449351	
14368	Ecm15	rep1	ChIP-exo	normal	GSM4449352	
18487	Ecm22	rep1	ChIP-exo	normal	GSM4449353	yes
20427	Ecm22	rep2	ChIP-exo	normal	GSM4449354	yes
14793	Ecm5	rep1	ChIP-exo	normal	GSM4449355	yes
17159	Ecm5	rep2	ChIP-exo	normal	GSM4449356	yes
17131	Edc3	rep1	ChIP-exo	normal	GSM4449357	
14856	Eds1	rep1	ChIP-exo	normal	GSM4449358	
13448	Ela1	rep1	ChIP-exo	normal	GSM4449359	
17209	Elc1	rep1	ChIP-exo	normal	GSM4449360	
14481	Elf1	rep1	ChIP-exo	normal	GSM4449361	yes
14982	Elf1	rep2	ChIP-exo	normal	GSM4449362	yes
17781	Elp2	rep1	ChIP-exo	normal	GSM4449363	
15479	Elp3	rep1	ChIP-exo	normal	GSM4449364	
14434	Elp4	rep1	ChIP-exo	normal	GSM4449365	
14836	Elp6	rep1	ChIP-exo	normal	GSM4449366	
14426	Emi2	rep1	ChIP-exo	normal	GSM4449367	
14385	Erg8	rep1	ChIP-exo	normal	GSM4449368	
17577	Esa1	rep1	ChIP-exo	normal	GSM4449369	yes
18477	Esa1	rep2	ChIP-exo	normal	GSM4449370	yes
12082	Esc2	rep1	ChIP-exo	normal	GSM4449371	yes
18480	Esc2	rep2	ChIP-exo	normal	GSM4449372	yes
14392	Esc8	rep1	ChIP-exo	normal	GSM4449373	
14462	Ess1	rep1	ChIP-exo	normal	GSM4449374	yes
28366	Ess1	rep2	ChIP-exo	normal	GSM4449375	yes
14383	Fap1	rep1	ChIP-exo	normal	GSM4449376	
13471	Fap7	rep1	ChIP-exo	normal	GSM4449377	
17157	Fcp1	rep1	ChIP-exo	normal	GSM4449378	
8938	Fhl1	rep1	ChIP-exo	normal	GSM4449379	yes
8944	Fhl1	rep2	ChIP-exo	normal	GSM4449380	yes
11009	Fkh1	rep1	ChIP-exo	normal	GSM4449381	yes
11289	Fkh1	rep2	ChIP-exo	normal	GSM4449382	yes
10542	Fkh2	rep1	ChIP-exo	normal	GSM4449383	yes
17968	Fkh2	rep2	ChIP-exo	normal	GSM4449384	yes
14188	Fpr3	rep1	ChIP-exo	normal	GSM4449385	
14190	Fpr4	rep1	ChIP-exo	normal	GSM4449386	
17142	Fra1	rep1	ChIP-exo	normal	GSM4449387	
13452	Fsh1	rep1	ChIP-exo	normal	GSM4449388	
11911	Fun30	rep1	ChIP-exo	normal	GSM4449389	yes
14269	Fun30	rep2	ChIP-exo	normal	GSM4449390	yes
13457	Fus3	rep1	ChIP-exo	normal	GSM4449391	
13138	Fzf1	rep1	ChIP-exo	normal	GSM4449392	yes
15788	Fzf1	rep2	ChIP-exo	normal	GSM4449393	yes
14495	Gal11	rep1	ChIP-exo	normal	GSM4449394	yes
17127	Gal11	rep2	ChIP-exo	normal	GSM4449395	yes
14187	Gal3	rep1	ChIP-exo	normal	GSM4449396	
11796	Gal4	rep1	ChIP-exo	normal	GSM4449397	yes
15659	Gal4	rep2	ChIP-exo	normal	GSM4449398	yes
14366	Gal83	rep1	ChIP-exo	normal	GSM4449399	
17980	Gat1	rep1	ChIP-exo	normal	GSM4449400	
16046	Gcn4	rep1	ChIP-exo	normal	GSM4449401	yes
18488	Gcn4	rep2	ChIP-exo	normal	GSM4449402	yes
11826	Gcn5	rep1	ChIP-exo	normal	GSM4449403	yes
15202	Gcn5	rep2	ChIP-exo	normal	GSM4449404	yes
19996	Gcn5	rep3	ChIP-exo	normal	GSM4449405	yes
12449	Gcr1	rep1	ChIP-exo	normal	GSM4449406	yes
16050	Gcr1	rep2	ChIP-exo	normal	GSM4449407	yes
12843	Gdh1	rep1	ChIP-exo	normal	GSM4449408	
15794	Gis1	rep1	ChIP-exo	normal	GSM4449409	yes
17040	Gis1	rep2	ChIP-exo	normal	GSM4449410	yes
13478	Gis2	rep1	ChIP-exo	normal	GSM4449411	
14460	Glc7	rep1	ChIP-exo	normal	GSM4449412	
17877	Gln3	rep1	ChIP-exo	normal	GSM4449413	yes
20429	Gln3	rep2	ChIP-exo	normal	GSM4449414	yes
11940	God1	rep1	ChIP-exo	normal	GSM4449415	yes
17932	God1	rep2	ChIP-exo	normal	GSM4449416	yes
12437	Gpb2	rep1	ChIP-exo	normal	GSM4449417	
19310	Gpn2	rep1	ChIP-exo	normal	GSM4449418	
13458	Gpx2	rep1	ChIP-exo	normal	GSM4449419	
14786	Gre2	rep1	ChIP-exo	normal	GSM4449420	
14479	Gre3	rep1	ChIP-exo	normal	GSM4449421	
14815	Grs1	rep1	ChIP-exo	normal	GSM4449422	
14352	Grx3	rep1	ChIP-exo	normal	GSM4449423	
13466	Grx4	rep1	ChIP-exo	normal	GSM4449424	
14445	Gtr1	rep1	ChIP-exo	normal	GSM4449425	
14482	Gtr2	rep1	ChIP-exo	normal	GSM4449426	
17881	Gts1	rep1	ChIP-exo	normal	GSM4449427	
20430	Gts1	rep2	ChIP-exo	normal	GSM4449428	
14363	Gzf3	rep1	ChIP-exo	normal	GSM4449429	yes
20431	Gzf3	rep2	ChIP-exo	normal	GSM4449430	yes
10951	H2B	rep1	MNase-ChIP-seq	normal	GSM4449431	
10952	H2B	rep2	MNase-ChIP-seq	normal	GSM4449432	
10967	H2B	rep3	MNase-ChIP-seq	normal	GSM4449433	
13889	H2BK123ub	rep1	MNase-ChIP-seq	normal	GSM4449434	
13898	H2BK123ub	rep2	MNase-ChIP-seq	normal	GSM4449435	
10947	H3	rep1	MNase-ChIP-seq	normal	GSM4449436	
10948	H3	rep2	MNase-ChIP-seq	normal	GSM4449437	
10966	H3	rep3	MNase-ChIP-seq	normal	GSM4449438	
13886	H3K27ac	rep1	MNase-ChIP-seq	normal	GSM4449439	
13895	H3K27ac	rep2	MNase-ChIP-seq	normal	GSM4449440	
13887	H3K36me3	rep1	MNase-ChIP-seq	normal	GSM4449441	
13896	H3K36me3	rep2	MNase-ChIP-seq	normal	GSM4449442	
13884	H3K4me3	rep1	MNase-ChIP-seq	normal	GSM4449443	
13893	H3K4me3	rep2	MNase-ChIP-seq	normal	GSM4449444	
13888	H3K79me3	rep1	MNase-ChIP-seq	normal	GSM4449445	
13897	H3K79me3	rep2	MNase-ChIP-seq	normal	GSM4449446	
13885	H3K9ac	rep1	MNase-ChIP-seq	normal	GSM4449447	
13894	H3K9ac	rep2	MNase-ChIP-seq	normal	GSM4449448	
13890	H4K12ac	rep1	MNase-ChIP-seq	normal	GSM4449449	
13899	H4K12ac	rep2	MNase-ChIP-seq	normal	GSM4449450	
18014	Haa1	rep1	ChIP-exo	normal	GSM4449451	
12034	Hac1	rep1	ChIP-exo	normal	GSM4449452	
11804	Hal9	rep1	ChIP-exo	normal	GSM4449453	yes
13794	Hal9	rep2	ChIP-exo	normal	GSM4449454	yes
12438	Ham1	rep1	ChIP-exo	normal	GSM4449455	
14855	Hap1	rep1	ChIP-exo	normal	GSM4449456	yes
17050	Hap1	rep2	ChIP-exo	normal	GSM4449457	yes
11805	Hap2	rep1	ChIP-exo	normal	GSM4449458	yes
15633	Hap2	rep2	ChIP-exo	normal	GSM4449459	yes
12013	Hap3	rep1	ChIP-exo	normal	GSM4449460	yes
18494	Hap3	rep2	ChIP-exo	normal	GSM4449461	yes
10535	Hap5	rep1	ChIP-exo	normal	GSM4449462	yes
10706	Hap5	rep2	ChIP-exo	normal	GSM4449463	yes
14830	Hat2	rep1	ChIP-exo	normal	GSM4449464	
13460	Hch1	rep1	ChIP-exo	normal	GSM4449465	
12039	Hcm1	rep1	ChIP-exo	normal	GSM4449466	
12858	Hda1	rep1	ChIP-exo	normal	GSM4449467	
20432	Hda1	rep2	ChIP-exo	normal	GSM4449468	
14431	Hem2	rep1	ChIP-exo	normal	GSM4449469	yes
17043	Hem2	rep2	ChIP-exo	normal	GSM4449470	yes
11757	Hhf1	rep1	ChIP-exo	normal	GSM4449471	yes
15663	Hhf1	rep2	ChIP-exo	normal	GSM4449472	yes
14818	Hhf2	rep1	ChIP-exo	normal	GSM4449473	yes
18495	Hhf2	rep2	ChIP-exo	normal	GSM4449474	yes
11771	Hho1	rep1	ChIP-exo	normal	GSM4449475	yes
16025	Hho1	rep2	ChIP-exo	normal	GSM4449476	yes
17783	Hht1	rep1	ChIP-exo	normal	GSM4449477	yes
19308	Hht1	rep2	ChIP-exo	normal	GSM4449478	yes
11758	Hht2	rep1	ChIP-exo	normal	GSM4449479	yes
15662	Hht2	rep2	ChIP-exo	normal	GSM4449480	yes
14465	Hif1	rep1	ChIP-exo	normal	GSM4449481	
17575	Hir1	rep1	ChIP-exo	normal	GSM4449482	yes
17865	Hir1	rep2	ChIP-exo	normal	GSM4449483	yes
11847	Hir2	rep1	ChIP-exo	normal	GSM4449484	yes
15197	Hir2	rep2	ChIP-exo	normal	GSM4449485	yes
15789	Hir3	rep1	ChIP-exo	normal	GSM4449486	yes
17987	Hir3	rep2	ChIP-exo	normal	GSM4449487	yes
14865	Hmlalpha2	rep1	ChIP-exo	normal	GSM4449488	
12836	Hmo1	rep1	ChIP-exo	normal	GSM4449489	yes
14622	Hmo1	rep2	ChIP-exo	normal	GSM4449490	yes
14842	Hms1	rep1	ChIP-exo	normal	GSM4449491	
16018	Hms2	rep1	ChIP-exo	normal	GSM4449492	yes
17849	Hms2	rep2	ChIP-exo	normal	GSM4449493	yes
17213	Hmt1	rep1	ChIP-exo	normal	GSM4449494	
16033	Hog1	rep1	ChIP-exo	normal	GSM4449495	
12432	Hom6	rep1	ChIP-exo	normal	GSM4449496	
14781	Hor2	rep1	ChIP-exo	normal	GSM4449497	
17593	Hos1	rep1	ChIP-exo	normal	GSM4449498	
13157	Hos2	rep1	ChIP-exo	normal	GSM4449499	yes
20433	Hos2	rep2	ChIP-exo	normal	GSM4449500	yes
17564	Hos3	rep1	ChIP-exo	normal	GSM4449501	
16044	Hos4	rep1	ChIP-exo	normal	GSM4449502	yes
17797	Hos4	rep2	ChIP-exo	normal	GSM4449503	yes
13141	Hot1	rep1	ChIP-exo	normal	GSM4449504	yes
15491	Hot1	rep2	ChIP-exo	normal	GSM4449505	yes
12941	Hpa3	rep1	ChIP-exo	normal	GSM4449506	
14989	Hpc2	rep1	ChIP-exo	normal	GSM4449507	yes
20434	Hpc2	rep2	ChIP-exo	normal	GSM4449508	yes
14810	Hpr1	rep1	ChIP-exo	normal	GSM4449509	yes
17936	Hpr1	rep2	ChIP-exo	normal	GSM4449510	yes
14487	Hpt1	rep1	ChIP-exo	normal	GSM4449511	
17929	Hrb1	rep1	ChIP-exo	normal	GSM4449512	
28336	Hrb1	rep2	ChIP-exo	normal	GSM4449513	
14993	Hrr25	rep1	ChIP-exo	normal	GSM4449514	
8581	Hsf1	rep1	ChIP-exo	normal	GSM4449515	yes
10401	Hsf1	rep2	ChIP-exo	normal	GSM4449516	yes
10406	Hsf1	rep3	ChIP-exo	6 min heat shock	GSM4449517	yes
23750	Hsf1	rep4	ChIP-exo	normal	GSM4449518	yes
23755	Hsf1	rep5	ChIP-exo	6 min heat shock	GSM4449519	yes
12868	Hsl7	rep1	ChIP-exo	normal	GSM4449520	
13140	Hst1	rep1	ChIP-exo	normal	GSM4449521	yes
15798	Hst1	rep2	ChIP-exo	normal	GSM4449522	yes
14467	Hst2	rep1	ChIP-exo	normal	GSM4449523	
13143	Hst3	rep1	ChIP-exo	normal	GSM4449524	yes
15796	Hst3	rep2	ChIP-exo	normal	GSM4449525	yes
11819	Hst4	rep1	ChIP-exo	normal	GSM4449526	
11844	Hta2	rep1	ChIP-exo	normal	GSM4449527	yes
15784	Hta2	rep2	ChIP-exo	normal	GSM4449528	yes
11772	Htb2	rep1	ChIP-exo	normal	GSM4449529	yes
14255	Htb2	rep2	ChIP-exo	normal	GSM4449530	yes
17028	Htl1	rep1	ChIP-exo	normal	GSM4449531	yes
20435	Htl1	rep2	ChIP-exo	normal	GSM4449532	yes
11759	Htz1	rep1	ChIP-exo	normal	GSM4449533	yes
15193	Htz1	rep2	ChIP-exo	normal	GSM4449534	yes
12842	Hxk2	rep1	ChIP-exo	normal	GSM4449535	
14476	Idi1	rep1	ChIP-exo	normal	GSM4449536	
14399	Ids2	rep1	ChIP-exo	normal	GSM4449537	
17984	Ies1	rep1	ChIP-exo	normal	GSM4449538	
17136	Ies2	rep1	ChIP-exo	normal	GSM4449539	
17891	Ies3	rep1	ChIP-exo	normal	GSM4449540	yes
20436	Ies3	rep2	ChIP-exo	normal	GSM4449541	yes
11994	Ies4	rep1	ChIP-exo	normal	GSM4449542	
14811	Ies5	rep1	ChIP-exo	normal	GSM4449543	
14984	Ies6	rep1	ChIP-exo	normal	GSM4449544	yes
17042	Ies6	rep2	ChIP-exo	normal	GSM4449545	yes
8934	Ifh1	rep1	ChIP-exo	normal	GSM4449546	yes
8936	Ifh1	rep2	ChIP-exo	normal	GSM4449547	yes
14439	Iki1	rep1	ChIP-exo	normal	GSM4449548	
12077	Iki3	rep1	ChIP-exo	normal	GSM4449549	
11925	Ilv5	rep1	ChIP-exo	normal	GSM4449550	
12033	Imd2	rep1	ChIP-exo	normal	GSM4449551	
12853	Iml2	rep1	ChIP-exo	normal	GSM4449552	
12012	Ino2	rep1	ChIP-exo	normal	GSM4449553	yes
17971	Ino2	rep2	ChIP-exo	normal	GSM4449554	yes
14597	Ino4	rep1	ChIP-exo	normal	GSM4449555	yes
15653	Ino4	rep2	ChIP-exo	normal	GSM4449556	yes
17581	Ino80	rep1	ChIP-exo	normal	GSM4449557	yes
17998	Ioc2	rep1	ChIP-exo	normal	GSM4449558	
18004	Ioc3	rep1	ChIP-exo	normal	GSM4449559	yes
17032	Ioc4	rep1	ChIP-exo	normal	GSM4449560	
16344	Irc20	rep1	ChIP-exo	normal	GSM4449561	
14992	Irr1	rep1	ChIP-exo	normal	GSM4449562	yes
17954	Irr1	rep2	ChIP-exo	normal	GSM4449563	yes
18013	Isw1	rep1	ChIP-exo	normal	GSM4449564	yes
14762	Isw2	rep1	ChIP-exo	normal	GSM4449565	yes
17152	Itc1	rep1	ChIP-exo	normal	GSM4449566	
17146	Iwr1	rep1	ChIP-exo	normal	GSM4449567	
12107	Iws1	rep1	ChIP-exo	normal	GSM4449568	yes
14601	Iws1	rep2	ChIP-exo	normal	GSM4449569	yes
17850	Ixr1	rep1	ChIP-exo	normal	GSM4449570	
17792	Jhd1	rep1	ChIP-exo	normal	GSM4449571	
18002	Jhd2	rep1	ChIP-exo	normal	GSM4449572	
16542	Kae1	rep1	ChIP-exo	normal	GSM4449573	
13465	Kap95	rep1	ChIP-exo	normal	GSM4449574	
13443	Kar2	rep1	ChIP-exo	normal	GSM4449575	
